side,start,end,length,measure,accuracy,precision,recall,f1
LVR,4,14,11,FA,0.98,0.98,0.98,0.97
LVR,11,15,5,GFA,0.94,0.97,0.94,0.94
LVR,11,22,12,RD,0.94,0.93,0.94,0.93
LVR,6,15,10,AP,0.93,0.93,0.93,0.92
L,5,22,18,FA,0.89,0.90,0.89,0.88
LVR,0,7,8,AD,0.88,0.90,0.88,0.88
LVR,8,26,19,MD,0.88,0.93,0.88,0.88
R,20,23,4,FA,0.85,0.86,0.85,0.83
R,0,19,20,AD,0.83,0.83,0.83,0.80
R,10,14,5,RD,0.83,0.82,0.83,0.81
L,22,24,3,AD,0.81,0.86,0.81,0.79
L,9,13,5,RD,0.71,0.69,0.71,0.68
